event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
9779b0,STVSK-2,CAMP_DIW_01,P10,65,50% OFF,85,128,5525,4160,-1365,-25%,43,51%
bd2635,STHYD-5,CAMP_DIW_01,P04,290,25% OFF,327,310,94830,67425,-27405,-29%,-17,-5%
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,BOGOF,52,134,61880,159460,97580,158%,216,415%
386fdc,STVSK-1,CAMP_DIW_01,P01,172,33% OFF,257,364,44204,41947.36,-2256.64,-5%,107,42%
3df185,STCBE-2,CAMP_DIW_01,P11,190,50% OFF,40,62,7600,5890,-1710,-23%,22,55%
a37f93,STVSK-3,CAMP_DIW_01,P14,1020,BOGOF,38,117,38760,119340,80580,208%,196,516%
939435,STMLR-2,CAMP_SAN_01,P07,300,BOGOF,24,96,7200,28800,21600,300%,168,700%
38b760,STMDU-0,CAMP_DIW_01,P14,1020,BOGOF,33,126,33660,128520,94860,282%,219,664%
660f7c,STMYS-1,CAMP_SAN_01,P07,300,BOGOF,43,186,12900,55800,42900,333%,329,765%
5c8b9f,STMDU-1,CAMP_DIW_01,P01,172,33% OFF,187,289,32164,33304.36,1140.36,4%,102,55%
9.57E+11,STHYD-1,CAMP_SAN_01,P15,3000,500 Cashback,103,177,309000,442500,133500,43%,74,72%
ddddb3,STBLR-2,CAMP_DIW_01,P09,110,50% OFF,103,136,11330,7480,-3850,-34%,33,32%
90b2fb,STCHE-6,CAMP_DIW_01,P07,300,BOGOF,59,201,17700,60300,42600,241%,343,581%
cf9994,STCHE-5,CAMP_SAN_01,P10,50,25% OFF,37,31,1850,1162.5,-687.5,-37%,-6,-16%
fb4f00,STCHE-0,CAMP_DIW_01,P11,190,50% OFF,80,102,15200,9690,-5510,-36%,22,28%
b41e58,STCBE-4,CAMP_DIW_01,P02,860,33% OFF,255,377,219300,217227.4,-2072.6,-1%,122,48%
567271,STMDU-0,CAMP_DIW_01,P10,65,50% OFF,78,102,5070,3315,-1755,-35%,24,31%
902a62,STHYD-2,CAMP_DIW_01,P06,415,25% OFF,96,77,39840,23966.25,-15873.75,-40%,-19,-20%
da5d21,STBLR-9,CAMP_DIW_01,P10,65,50% OFF,92,125,5980,4062.5,-1917.5,-32%,33,36%
8f2264,STBLR-7,CAMP_DIW_01,P12,62,50% OFF,124,184,7688,5704,-1984,-26%,60,48%
1e2a0e,STBLR-9,CAMP_DIW_01,P01,172,33% OFF,329,467,56588,53817.08,-2770.92,-5%,138,42%
7a6449,STHYD-3,CAMP_DIW_01,P10,65,50% OFF,131,203,8515,6597.5,-1917.5,-23%,72,55%
6.24E+11,STMLR-0,CAMP_SAN_01,P03,200,BOGOF,206,541,41200,108200,67000,163%,876,425%
5aa413,STCHE-1,CAMP_SAN_01,P08,1190,BOGOF,43,109,51170,129710,78540,153%,175,407%
11a64e,STCHE-7,CAMP_SAN_01,P06,415,25% OFF,31,28,12865,8715,-4150,-32%,-3,-10%
67820e,STBLR-0,CAMP_SAN_01,P10,50,25% OFF,31,25,1550,937.5,-612.5,-40%,-6,-19%
cd0d8e,STMDU-2,CAMP_DIW_01,P11,190,50% OFF,66,77,12540,7315,-5225,-42%,11,17%
ee63b3,STHYD-4,CAMP_DIW_01,P02,860,33% OFF,362,521,311320,300200.2,-11119.8,-4%,159,44%
abffa2,STCHE-5,CAMP_DIW_01,P07,300,BOGOF,59,206,17700,61800,44100,249%,353,598%
5487a6,STBLR-0,CAMP_DIW_01,P03,156,25% OFF,358,315,55848,36855,-18993,-34%,-43,-12%
0a4160,STCHE-7,CAMP_DIW_01,P03,156,25% OFF,330,323,51480,37791,-13689,-27%,-7,-2%
6422b4,STCBE-0,CAMP_DIW_01,P01,172,33% OFF,255,425,43860,48977,5117,12%,170,67%
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334,79560,340680,261120,328%,590,756%
d3575d,STMLR-2,CAMP_DIW_01,P02,860,33% OFF,210,268,180600,154421.6,-26178.4,-14%,58,28%
75ad53,STVJD-1,CAMP_DIW_01,P05,55,25% OFF,59,48,3245,1980,-1265,-39%,-11,-19%
a08c5e,STMYS-2,CAMP_DIW_01,P05,55,25% OFF,99,88,5445,3630,-1815,-33%,-11,-11%
d8a4ae,STBLR-0,CAMP_SAN_01,P05,55,25% OFF,28,22,1540,907.5,-632.5,-41%,-6,-21%
14f1e9,STBLR-4,CAMP_DIW_01,P08,1190,BOGOF,49,163,58310,193970,135660,233%,277,565%
11178a,STCBE-0,CAMP_DIW_01,P07,300,BOGOF,36,118,10800,35400,24600,228%,200,556%
62775f,STCHE-2,CAMP_DIW_01,P07,300,BOGOF,59,196,17700,58800,41100,232%,333,564%
5.88E+11,STHYD-3,CAMP_DIW_01,P12,62,50% OFF,112,178,6944,5518,-1426,-21%,66,59%
4fca07,STMLR-2,CAMP_SAN_01,P01,172,33% OFF,183,215,31476,24776.6,-6699.4,-21%,32,17%
a216f7,STCBE-2,CAMP_DIW_01,P06,415,25% OFF,77,68,31955,21165,-10790,-34%,-9,-12%
18a68a,STMLR-0,CAMP_DIW_01,P01,172,33% OFF,173,250,29756,28810,-946,-3%,77,45%
1f5ed3,STVSK-1,CAMP_SAN_01,P08,1190,BOGOF,33,131,39270,155890,116620,297%,229,694%
58e374,STBLR-0,CAMP_DIW_01,P07,300,BOGOF,64,250,19200,75000,55800,291%,436,681%
f7aec5,STCHE-5,CAMP_SAN_01,P13,350,BOGOF,87,341,30450,119350,88900,292%,595,684%
f4192d,STMYS-1,CAMP_DIW_01,P11,190,50% OFF,84,121,15960,11495,-4465,-28%,37,44%
a71e7c,STCBE-2,CAMP_SAN_01,P12,62,50% OFF,33,51,2046,1581,-465,-23%,18,55%
f49149,STMYS-0,CAMP_SAN_01,P06,415,25% OFF,27,22,11205,6847.5,-4357.5,-39%,-5,-19%
e7cb59,STCHE-3,CAMP_DIW_01,P11,190,50% OFF,96,120,18240,11400,-6840,-38%,24,25%
8b1147,STVSK-0,CAMP_SAN_01,P15,3000,500 Cashback,73,170,219000,425000,206000,94%,97,133%
8d349f,STCBE-4,CAMP_SAN_01,P10,50,25% OFF,22,18,1100,675,-425,-39%,-4,-18%
096adc,STBLR-8,CAMP_SAN_01,P02,860,33% OFF,441,626,379260,360701.2,-18558.8,-5%,185,42%
5f0a89,STBLR-3,CAMP_SAN_01,P15,3000,500 Cashback,114,249,342000,622500,280500,82%,135,118%
127984,STMLR-2,CAMP_DIW_01,P04,290,25% OFF,141,125,40890,27187.5,-13702.5,-34%,-16,-11%
e8a904,STCHE-7,CAMP_DIW_01,P05,55,25% OFF,112,107,6160,4413.75,-1746.25,-28%,-5,-4%
f1b7e9,STCHE-3,CAMP_DIW_01,P14,1020,BOGOF,52,211,53040,215220,162180,306%,370,712%
62d659,STHYD-6,CAMP_DIW_01,P10,65,50% OFF,105,137,6825,4452.5,-2372.5,-35%,32,30%
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166,58310,197540,139230,239%,283,578%
da9b71,STVSK-1,CAMP_DIW_01,P06,415,25% OFF,63,51,26145,15873.75,-10271.25,-39%,-12,-19%
463205,STVSK-2,CAMP_DIW_01,P02,860,33% OFF,215,371,184900,213770.2,28870.2,16%,156,73%
2b0db4,STMLR-2,CAMP_DIW_01,P14,1020,BOGOF,21,73,21420,74460,53040,248%,125,595%
003e8d,STCHE-3,CAMP_DIW_01,P02,860,33% OFF,371,519,319060,299047.8,-20012.2,-6%,148,40%
b0ab6c,STHYD-4,CAMP_SAN_01,P06,415,25% OFF,34,31,14110,9648.75,-4461.25,-32%,-3,-9%
2d7f62,STCHE-2,CAMP_SAN_01,P11,190,50% OFF,58,68,11020,6460,-4560,-41%,10,17%
58df9b,STCBE-2,CAMP_DIW_01,P02,860,33% OFF,183,327,157380,188417.4,31037.4,20%,144,79%
f22294,STMYS-1,CAMP_SAN_01,P01,172,33% OFF,345,520,59340,59924.8,584.8,1%,175,51%
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,BOGOF,22,88,26180,104720,78540,300%,154,700%
41b8f8,STBLR-0,CAMP_DIW_01,P08,1190,BOGOF,56,220,66640,261800,195160,293%,384,686%
7.34E+11,STCHE-0,CAMP_DIW_01,P06,415,25% OFF,105,92,43575,28635,-14940,-34%,-13,-12%
cbe691,STBLR-0,CAMP_DIW_01,P10,65,50% OFF,103,134,6695,4355,-2340,-35%,31,30%
0f2c3a,STCBE-0,CAMP_SAN_01,P07,300,BOGOF,30,117,9000,35100,26100,290%,204,680%
5ae6d6,STBLR-1,CAMP_SAN_01,P09,90,25% OFF,82,74,7380,4995,-2385,-32%,-8,-10%
a9ee19,STBLR-1,CAMP_SAN_01,P08,1190,BOGOF,58,158,69020,188020,119000,172%,258,445%
4ab9ba,STTRV-1,CAMP_SAN_01,P01,172,33% OFF,165,232,28380,26735.68,-1644.32,-6%,67,41%
3164ea,STMDU-2,CAMP_SAN_01,P01,172,33% OFF,265,328,45580,37798.72,-7781.28,-17%,63,24%
7bdc1e,STVSK-4,CAMP_DIW_01,P07,300,BOGOF,50,149,15000,44700,29700,198%,248,496%
565a38,STTRV-0,CAMP_SAN_01,P07,300,BOGOF,30,117,9000,35100,26100,290%,204,680%
ab3517,STTRV-1,CAMP_SAN_01,P04,370,BOGOF,190,733,70300,271210,200910,286%,1276,672%
1b295f,STCHE-5,CAMP_DIW_01,P12,62,50% OFF,110,130,6820,4030,-2790,-41%,20,18%
a55960,STBLR-1,CAMP_DIW_01,P08,1190,BOGOF,50,149,59500,177310,117810,198%,248,496%
5a0c33,STCBE-2,CAMP_DIW_01,P10,65,50% OFF,87,127,5655,4127.5,-1527.5,-27%,40,46%
74d23a,STCHE-0,CAMP_DIW_01,P07,300,BOGOF,75,252,22500,75600,53100,236%,429,572%
d105db,STCBE-4,CAMP_SAN_01,P07,300,BOGOF,43,111,12900,33300,20400,158%,179,416%
1620ea,STMYS-3,CAMP_DIW_01,P06,415,25% OFF,101,89,41915,27701.25,-14213.75,-34%,-12,-12%
2177f8,STMDU-0,CAMP_DIW_01,P04,290,25% OFF,234,208,67860,45240,-22620,-33%,-26,-11%
609bfd,STBLR-1,CAMP_DIW_01,P12,62,50% OFF,129,170,7998,5270,-2728,-34%,41,32%
0013db,STBLR-1,CAMP_SAN_01,P02,860,33% OFF,435,622,374100,358396.4,-15703.6,-4%,187,43%
6f3e24,STHYD-6,CAMP_DIW_01,P15,3000,500 Cashback,388,1129,1164000,2822500,1658500,142%,741,191%
79a95a,STHYD-3,CAMP_SAN_01,P15,3000,500 Cashback,121,200,363000,500000,137000,38%,79,65%
8cd1ec,STCHE-1,CAMP_SAN_01,P13,350,BOGOF,124,324,43400,113400,70000,161%,524,423%
e57227,STCHE-6,CAMP_SAN_01,P05,55,25% OFF,25,18,1375,742.5,-632.5,-46%,-7,-28%
79577d,STBLR-9,CAMP_DIW_01,P03,156,25% OFF,348,337,54288,39429,-14859,-27%,-11,-3%
dbaf92,STBLR-6,CAMP_SAN_01,P01,172,33% OFF,301,454,51772,52318.96,546.96,1%,153,51%
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160,42840,163200,120360,281%,278,662%
53bb94,STHYD-2,CAMP_DIW_01,P02,860,33% OFF,402,611,345720,352058.2,6338.2,2%,209,52%
2fe1bb,STCHE-1,CAMP_SAN_01,P04,370,BOGOF,460,1168,170200,432160,261960,154%,1876,408%
e553f2,STTRV-0,CAMP_DIW_01,P13,350,BOGOF,38,129,13300,45150,31850,239%,220,579%
fc376a,STHYD-0,CAMP_SAN_01,P14,1020,BOGOF,106,422,108120,430440,322320,298%,738,696%
fdd666,STMLR-0,CAMP_DIW_01,P06,415,25% OFF,38,33,15770,10271.25,-5498.75,-35%,-5,-13%
bbf357,STVSK-4,CAMP_SAN_01,P11,190,50% OFF,40,57,7600,5415,-2185,-29%,17,43%
d180ef,STBLR-7,CAMP_SAN_01,P01,172,33% OFF,341,531,58652,61192.44,2540.44,4%,190,56%
4888d5,STBLR-3,CAMP_DIW_01,P07,300,BOGOF,70,231,21000,69300,48300,230%,392,560%
dead78,STVJD-0,CAMP_DIW_01,P12,62,50% OFF,68,90,4216,2790,-1426,-34%,22,32%
c198da,STMDU-2,CAMP_SAN_01,P06,415,25% OFF,19,15,7885,4668.75,-3216.25,-41%,-4,-21%
3cb389,STCHE-6,CAMP_DIW_01,P01,172,33% OFF,309,460,53148,53010.4,-137.6,0%,151,49%
667c78,STVSK-4,CAMP_SAN_01,P01,172,33% OFF,223,301,38356,34687.24,-3668.76,-10%,78,35%
02b894,STBLR-2,CAMP_SAN_01,P02,860,33% OFF,477,658,410220,379139.6,-31080.4,-8%,181,38%
1bff17,STCHE-6,CAMP_DIW_01,P05,55,25% OFF,112,85,6160,3506.25,-2653.75,-43%,-27,-24%
d6ff76,STMDU-2,CAMP_DIW_01,P14,1020,BOGOF,28,96,28560,97920,69360,243%,164,586%
d1e51d,STCBE-4,CAMP_DIW_01,P07,300,BOGOF,42,130,12600,39000,26400,210%,218,519%
8f2a5a,STVSK-2,CAMP_SAN_01,P11,190,50% OFF,25,37,4750,3515,-1235,-26%,12,48%
87be33,STBLR-6,CAMP_SAN_01,P13,350,BOGOF,120,516,42000,180600,138600,330%,912,760%
a1e541,STHYD-1,CAMP_DIW_01,P01,172,33% OFF,311,385,53492,44367.4,-9124.6,-17%,74,24%
6a1a5a,STVSK-0,CAMP_DIW_01,P15,3000,500 Cashback,250,755,750000,1887500,1137500,152%,505,202%
361cfb,STMLR-0,CAMP_DIW_01,P14,1020,BOGOF,22,69,22440,70380,47940,214%,116,527%
951bda,STBLR-9,CAMP_DIW_01,P07,300,BOGOF,63,213,18900,63900,45000,238%,363,576%
a692dc,STCHE-1,CAMP_SAN_01,P01,172,33% OFF,270,340,46440,39181.6,-7258.4,-16%,70,26%
94953c,STMLR-2,CAMP_SAN_01,P06,415,25% OFF,15,12,6225,3735,-2490,-40%,-3,-20%
af100a,STMLR-2,CAMP_SAN_01,P03,200,BOGOF,190,752,38000,150400,112400,296%,1314,692%
223d36,STMYS-0,CAMP_DIW_01,P10,65,50% OFF,129,167,8385,5427.5,-2957.5,-35%,38,29%
ff43bf,STHYD-2,CAMP_DIW_01,P11,190,50% OFF,91,116,17290,11020,-6270,-36%,25,27%
44838e,STVJD-1,CAMP_DIW_01,P06,415,25% OFF,49,40,20335,12450,-7885,-39%,-9,-18%
1fa488,STVJD-0,CAMP_DIW_01,P07,300,BOGOF,31,105,9300,31500,22200,239%,179,577%
73211e,STCBE-1,CAMP_DIW_01,P01,172,33% OFF,182,223,31304,25698.52,-5605.48,-18%,41,23%
93a29e,STCHE-4,CAMP_SAN_01,P05,55,25% OFF,28,22,1540,907.5,-632.5,-41%,-6,-21%
ec5570,STVJD-1,CAMP_DIW_01,P10,65,50% OFF,71,95,4615,3087.5,-1527.5,-33%,24,34%
6ee2af,STHYD-3,CAMP_SAN_01,P02,860,33% OFF,595,892,511700,513970.4,2270.4,0%,297,50%
f3a7b2,STHYD-6,CAMP_SAN_01,P01,172,33% OFF,306,416,52632,47939.84,-4692.16,-9%,110,36%
2186aa,STCBE-3,CAMP_SAN_01,P05,55,25% OFF,19,15,1045,618.75,-426.25,-41%,-4,-21%
e7bdad,STMLR-1,CAMP_DIW_01,P14,1020,BOGOF,24,80,24480,81600,57120,233%,136,567%
f90ae9,STCBE-0,CAMP_SAN_01,P13,350,BOGOF,82,323,28700,113050,84350,294%,564,688%
348fe6,STBLR-8,CAMP_DIW_01,P01,172,33% OFF,332,471,57104,54278.04,-2825.96,-5%,139,42%
17d5c1,STCBE-0,CAMP_DIW_01,P13,350,BOGOF,52,173,18200,60550,42350,233%,294,565%
8f5618,STBLR-1,CAMP_DIW_01,P04,290,25% OFF,302,289,87580,62857.5,-24722.5,-28%,-13,-4%
6bfa15,STCBE-2,CAMP_SAN_01,P06,415,25% OFF,16,13,6640,4046.25,-2593.75,-39%,-3,-19%
aac58d,STBLR-6,CAMP_DIW_01,P08,1190,BOGOF,52,204,61880,242760,180880,292%,356,685%
ed0d01,STBLR-2,CAMP_DIW_01,P12,62,50% OFF,108,145,6696,4495,-2201,-33%,37,34%
0eb41f,STVSK-2,CAMP_SAN_01,P01,172,33% OFF,232,364,39904,41947.36,2043.36,5%,132,57%
9b8658,STHYD-5,CAMP_DIW_01,P11,190,50% OFF,73,97,13870,9215,-4655,-34%,24,33%
3bc352,STHYD-3,CAMP_DIW_01,P07,300,BOGOF,54,170,16200,51000,34800,215%,286,530%
40f110,STBLR-9,CAMP_DIW_01,P12,62,50% OFF,122,163,7564,5053,-2511,-33%,41,34%
55fed8,STCBE-3,CAMP_DIW_01,P09,110,50% OFF,40,60,4400,3300,-1100,-25%,20,50%
c1cdb5,STCHE-0,CAMP_SAN_01,P15,3000,500 Cashback,135,286,405000,715000,310000,77%,151,112%
c134bb,STBLR-8,CAMP_SAN_01,P07,300,BOGOF,51,205,15300,61500,46200,302%,359,704%
2361c6,STBLR-0,CAMP_DIW_01,P06,415,25% OFF,94,83,39010,25833.75,-13176.25,-34%,-11,-12%
b44f0e,STHYD-2,CAMP_SAN_01,P15,3000,500 Cashback,136,288,408000,720000,312000,76%,152,112%
607c9d,STCHE-2,CAMP_SAN_01,P02,860,33% OFF,556,711,478160,409678.2,-68481.8,-14%,155,28%
5ea63d,STCBE-3,CAMP_DIW_01,P12,62,50% OFF,82,126,5084,3906,-1178,-23%,44,54%
323aee,STVSK-0,CAMP_DIW_01,P07,300,BOGOF,36,119,10800,35700,24900,231%,202,561%
114087,STHYD-3,CAMP_SAN_01,P06,415,25% OFF,28,20,11620,6225,-5395,-46%,-8,-29%
99482c,STBLR-8,CAMP_SAN_01,P08,1190,BOGOF,42,161,49980,191590,141610,283%,280,667%
5ab1d5,STCHE-6,CAMP_DIW_01,P06,415,25% OFF,98,76,40670,23655,-17015,-42%,-22,-22%
97ad03,STCBE-1,CAMP_SAN_01,P02,860,33% OFF,379,462,325940,266204.4,-59735.6,-18%,83,22%
b666fa,STTRV-1,CAMP_DIW_01,P05,55,25% OFF,57,55,3135,2268.75,-866.25,-28%,-2,-4%
da3c49,STMLR-2,CAMP_SAN_01,P02,860,33% OFF,270,313,232200,180350.6,-51849.4,-22%,43,16%
3459ec,STCHE-3,CAMP_SAN_01,P02,860,33% OFF,468,636,402480,366463.2,-36016.8,-9%,168,36%
7f81c2,STCHE-2,CAMP_DIW_01,P05,55,25% OFF,91,88,5005,3630,-1375,-27%,-3,-3%
b17786,STMLR-0,CAMP_SAN_01,P13,350,BOGOF,63,163,22050,57050,35000,159%,263,417%
2cbc21,STHYD-1,CAMP_SAN_01,P09,90,25% OFF,58,47,5220,3172.5,-2047.5,-39%,-11,-19%
eacf93,STTRV-1,CAMP_SAN_01,P11,190,50% OFF,24,34,4560,3230,-1330,-29%,10,42%
0f184e,STVSK-0,CAMP_DIW_01,P05,55,25% OFF,89,80,4895,3300,-1595,-33%,-9,-10%
52ec61,STBLR-8,CAMP_DIW_01,P10,65,50% OFF,133,172,8645,5590,-3055,-35%,39,29%
541bef,STHYD-4,CAMP_SAN_01,P01,172,33% OFF,234,322,40248,37107.28,-3140.72,-8%,88,38%
86a92b,STMLR-2,CAMP_DIW_01,P11,190,50% OFF,42,45,7980,4275,-3705,-46%,3,7%
861116,STBLR-7,CAMP_DIW_01,P06,415,25% OFF,96,84,39840,26145,-13695,-34%,-12,-13%
c6d7c5,STMYS-3,CAMP_DIW_01,P12,62,50% OFF,124,145,7688,4495,-3193,-42%,21,17%
b58c2d,STMYS-0,CAMP_SAN_01,P02,860,33% OFF,499,703,429140,405068.6,-24071.4,-6%,204,41%
d59c23,STCBE-3,CAMP_DIW_01,P03,156,25% OFF,252,224,39312,26208,-13104,-33%,-28,-11%
68a7bc,STBLR-5,CAMP_DIW_01,P04,290,25% OFF,322,276,93380,60030,-33350,-36%,-46,-14%
f98db5,STBLR-2,CAMP_SAN_01,P15,3000,500 Cashback,129,279,387000,697500,310500,80%,150,116%
ffaba4,STBLR-8,CAMP_SAN_01,P09,90,25% OFF,46,33,4140,2227.5,-1912.5,-46%,-13,-28%
f725c0,STCBE-3,CAMP_SAN_01,P03,200,BOGOF,228,898,45600,179600,134000,294%,1568,688%
f8e037,STHYD-2,CAMP_DIW_01,P08,1190,BOGOF,52,175,61880,208250,146370,237%,298,573%
b526b4,STCHE-7,CAMP_SAN_01,P02,860,33% OFF,525,756,451500,435607.2,-15892.8,-4%,231,44%
0491f4,STVSK-2,CAMP_DIW_01,P11,190,50% OFF,38,58,7220,5510,-1710,-24%,20,53%
879d99,STHYD-5,CAMP_DIW_01,P09,110,50% OFF,92,124,10120,6820,-3300,-33%,32,35%
ec3591,STCHE-1,CAMP_SAN_01,P09,90,25% OFF,79,63,7110,4252.5,-2857.5,-40%,-16,-20%
2db607,STCBE-1,CAMP_DIW_01,P14,1020,BOGOF,40,136,40800,138720,97920,240%,232,580%
b78191,STBLR-3,CAMP_SAN_01,P14,1020,BOGOF,91,361,92820,368220,275400,297%,631,693%
7b1d41,STMYS-2,CAMP_DIW_01,P14,1020,BOGOF,43,125,43860,127500,83640,191%,207,481%
a6e691,STCHE-0,CAMP_SAN_01,P03,200,BOGOF,294,1134,58800,226800,168000,286%,1974,671%
f21ef6,STMLR-1,CAMP_SAN_01,P06,415,25% OFF,18,14,7470,4357.5,-3112.5,-42%,-4,-22%
b999c5,STMYS-2,CAMP_SAN_01,P03,200,BOGOF,406,1015,81200,203000,121800,150%,1624,400%
f6aa36,STVSK-3,CAMP_DIW_01,P06,415,25% OFF,63,54,26145,16807.5,-9337.5,-36%,-9,-14%
d78c78,STCHE-0,CAMP_DIW_01,P14,1020,BOGOF,52,182,53040,185640,132600,250%,312,600%
12573c,STHYD-3,CAMP_SAN_01,P12,62,50% OFF,64,100,3968,3100,-868,-22%,36,56%
38ebfb,STCBE-1,CAMP_SAN_01,P10,50,25% OFF,27,20,1350,750,-600,-44%,-7,-26%
5d23c1,STVSK-4,CAMP_SAN_01,P12,62,50% OFF,40,58,2480,1798,-682,-28%,18,45%
449732,STBLR-9,CAMP_DIW_01,P05,55,25% OFF,101,97,5555,4001.25,-1553.75,-28%,-4,-4%
b83644,STBLR-6,CAMP_DIW_01,P11,190,50% OFF,75,117,14250,11115,-3135,-22%,42,56%
17537,STMDU-2,CAMP_SAN_01,P08,1190,BOGOF,33,129,39270,153510,114240,291%,225,682%
ab8eb3,STHYD-6,CAMP_DIW_01,P06,415,25% OFF,85,74,35275,23032.5,-12242.5,-35%,-11,-13%
99ce6a,STVSK-3,CAMP_SAN_01,P03,200,BOGOF,250,687,50000,137400,87400,175%,1124,450%
42b041,STBLR-1,CAMP_DIW_01,P01,172,33% OFF,357,514,61404,59233.36,-2170.64,-4%,157,44%
fd5955,STCBE-0,CAMP_DIW_01,P02,860,33% OFF,313,541,269180,311724.2,42544.2,16%,228,73%
9.33E+11,STBLR-3,CAMP_SAN_01,P08,1190,BOGOF,40,154,47600,183260,135660,285%,268,670%
268b09,STMLR-1,CAMP_SAN_01,P13,350,BOGOF,49,189,17150,66150,49000,286%,329,671%
dcaeaa,STBLR-7,CAMP_DIW_01,P04,290,25% OFF,276,242,80040,52635,-27405,-34%,-34,-12%
d31787,STMYS-2,CAMP_SAN_01,P10,50,25% OFF,25,20,1250,750,-500,-40%,-5,-20%
f34069,STBLR-9,CAMP_SAN_01,P09,90,25% OFF,61,57,5490,3847.5,-1642.5,-30%,-4,-7%
4f40ed,STCHE-5,CAMP_SAN_01,P02,860,33% OFF,564,721,485040,415440.2,-69599.8,-14%,157,28%
12bb06,STHYD-1,CAMP_DIW_01,P03,156,25% OFF,351,319,54756,37323,-17433,-32%,-32,-9%
5f2c41,STCHE-6,CAMP_DIW_01,P08,1190,BOGOF,54,185,64260,220150,155890,243%,316,585%
e0de60,STHYD-6,CAMP_DIW_01,P03,156,25% OFF,327,294,51012,34398,-16614,-33%,-33,-10%
152ae4,STHYD-1,CAMP_SAN_01,P12,62,50% OFF,51,57,3162,1767,-1395,-44%,6,12%
8e6ee5,STMLR-0,CAMP_DIW_01,P05,55,25% OFF,52,45,2860,1856.25,-1003.75,-35%,-7,-13%
d0fd0e,STBLR-0,CAMP_SAN_01,P11,190,50% OFF,43,62,8170,5890,-2280,-28%,19,44%
4fa17c,STCHE-4,CAMP_DIW_01,P01,172,33% OFF,327,503,56244,57965.72,1721.72,3%,176,54%
bcf305,STCHE-5,CAMP_DIW_01,P09,110,50% OFF,75,80,8250,4400,-3850,-47%,5,7%
66050c,STCHE-6,CAMP_SAN_01,P08,1190,BOGOF,60,238,71400,283220,211820,297%,416,693%
407f1c,STBLR-2,CAMP_SAN_01,P13,350,BOGOF,117,469,40950,164150,123200,301%,821,702%
e12c11,STCHE-1,CAMP_SAN_01,P14,1020,BOGOF,112,294,114240,299880,185640,163%,476,425%
46d57b,STBLR-9,CAMP_DIW_01,P13,350,BOGOF,94,329,32900,115150,82250,250%,564,600%
e80ad8,STCHE-7,CAMP_DIW_01,P10,65,50% OFF,136,179,8840,5817.5,-3022.5,-34%,43,32%
f2bdcc,STBLR-4,CAMP_DIW_01,P01,172,33% OFF,337,478,57964,55084.72,-2879.28,-5%,141,42%
8d20b8,STBLR-5,CAMP_DIW_01,P09,110,50% OFF,75,95,8250,5225,-3025,-37%,20,27%
f88523,STTRV-1,CAMP_SAN_01,P05,55,25% OFF,10,9,550,371.25,-178.75,-33%,-1,-10%
177b80,STMLR-0,CAMP_SAN_01,P14,1020,BOGOF,37,96,37740,97920,60180,159%,155,419%
317699,STCHE-2,CAMP_SAN_01,P03,200,BOGOF,310,1246,62000,249200,187200,302%,2182,704%
ef6d6d,STBLR-2,CAMP_SAN_01,P14,1020,BOGOF,88,346,89760,352920,263160,293%,604,686%
1e51ee,STVSK-3,CAMP_SAN_01,P12,62,50% OFF,43,51,2666,1581,-1085,-41%,8,19%
c55ec9,STBLR-1,CAMP_SAN_01,P15,3000,500 Cashback,136,220,408000,550000,142000,35%,84,62%
6bbadf,STHYD-1,CAMP_DIW_01,P14,1020,BOGOF,43,127,43860,129540,85680,195%,211,491%
edaef4,STHYD-5,CAMP_SAN_01,P03,200,BOGOF,416,1630,83200,326000,242800,292%,2844,684%
d3f755,STCBE-1,CAMP_SAN_01,P08,1190,BOGOF,43,171,51170,203490,152320,298%,299,695%
0ba095,STCBE-1,CAMP_DIW_01,P03,156,25% OFF,274,210,42744,24570,-18174,-43%,-64,-23%
911349,STHYD-0,CAMP_DIW_01,P15,3000,500 Cashback,397,1214,1191000,3035000,1844000,155%,817,206%
6d65d2,STBLR-8,CAMP_SAN_01,P04,370,BOGOF,480,1867,177600,690790,513190,289%,3254,678%
4ab3bc,STHYD-2,CAMP_SAN_01,P09,90,25% OFF,66,49,5940,3307.5,-2632.5,-44%,-17,-26%
c22cf6,STCHE-6,CAMP_SAN_01,P12,62,50% OFF,58,81,3596,2511,-1085,-30%,23,40%
cc2182,STMDU-1,CAMP_DIW_01,P12,62,50% OFF,85,117,5270,3627,-1643,-31%,32,38%
bdf2b8,STVJD-1,CAMP_DIW_01,P12,62,50% OFF,56,71,3472,2201,-1271,-37%,15,27%
db8aa8,STTRV-1,CAMP_SAN_01,P03,200,BOGOF,193,746,38600,149200,110600,287%,1299,673%
466d6c,STMYS-1,CAMP_SAN_01,P11,190,50% OFF,31,50,5890,4750,-1140,-19%,19,61%
6444b7,STCHE-2,CAMP_DIW_01,P06,415,25% OFF,85,81,35275,25211.25,-10063.75,-29%,-4,-5%
f1cd45,STVJD-1,CAMP_DIW_01,P11,190,50% OFF,50,64,9500,6080,-3420,-36%,14,28%
