event_id,store_id,campaign_id,product_code,Category,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),Revenue Before,Revenue After,IR,IR%,ISU,ISU%
61b929,STVSK-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,33,109,"? 33,660","? 1,11,180","? 77,520",230%,185,561%
908a96,STHYD-4,CAMP_SAN_01,P12,Personal Care,62,50% OFF,52,72,"? 3,224","? 2,232",-? 992,-31%,20,38%
d0f417,STCBE-4,CAMP_DIW_01,P12,Personal Care,62,50% OFF,89,112,"? 5,518","? 3,472","-? 2,046",-37%,23,26%
c4b10c,STCHE-5,CAMP_DIW_01,P06,Home Care,415,25% OFF,87,77,"? 36,105","? 23,966","-? 12,139",-34%,-10,-11%
e39703,STBLR-9,CAMP_DIW_01,P08,Home Care,1190,BOGOF,47,163,"? 55,930","? 1,93,970","? 1,38,040",247%,279,594%
1.11E+11,STMYS-3,CAMP_SAN_01,P11,Personal Care,190,50% OFF,43,48,"? 8,170","? 4,560","-? 3,610",-44%,5,12%
029ff8,STMLR-0,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,169,236,"? 29,068","? 27,197","-? 1,871",-6%,67,40%
daff65,STMLR-0,CAMP_DIW_01,P11,Personal Care,190,50% OFF,35,45,"? 6,650","? 4,275","-? 2,375",-36%,10,29%
108a63,STHYD-3,CAMP_SAN_01,P05,Home Care,55,25% OFF,30,22,"? 1,650",? 908,-? 743,-45%,-8,-27%
e7d681,STCHE-5,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,66,226,"? 23,100","? 79,100","? 56,000",242%,386,585%
02fa4b,STVSK-4,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,155,218,"? 26,660","? 25,122","-? 1,538",-6%,63,41%
2b0a40,STHYD-2,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,82,273,"? 28,700","? 95,550","? 66,850",233%,464,566%
406a98,STBLR-5,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,264,361,"? 45,408","? 41,602","-? 3,806",-8%,97,37%
ad1849,STCHE-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,119,107,"? 6,545","? 4,414","-? 2,131",-33%,-12,-10%
cfa879,STCHE-4,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,114,502,"? 39,900","? 1,75,700","? 1,35,800",340%,890,781%
d2b963,STVJD-0,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,48,187,"? 48,960","? 1,90,740","? 1,41,780",290%,326,679%
2e3393,STCHE-3,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,112,460,"? 1,14,240","? 4,69,200","? 3,54,960",311%,808,721%
68718c,STCHE-0,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,309,265,"? 89,610","? 57,638","-? 31,973",-36%,-44,-14%
591730,STBLR-2,CAMP_SAN_01,P09,Personal Care,90,25% OFF,64,53,"? 5,760","? 3,578","-? 2,183",-38%,-11,-17%
7d1872,STMYS-2,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,283,430,"? 2,43,380","? 2,47,766","? 4,386",2%,147,52%
4b3df6,STTRV-1,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,61,234,"? 62,220","? 2,38,680","? 1,76,460",284%,407,667%
55b461,STMDU-0,CAMP_SAN_01,P06,Home Care,415,25% OFF,21,17,"? 8,715","? 5,291","-? 3,424",-39%,-4,-19%
6b26bc,STHYD-2,CAMP_SAN_01,P05,Home Care,55,25% OFF,24,18,"? 1,320",? 743,-? 578,-44%,-6,-25%
dbd453,STMLR-1,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,195,776,"? 39,000","? 1,55,200","? 1,16,200",298%,1357,696%
1fcb3a,STVSK-4,CAMP_DIW_01,P05,Home Care,55,25% OFF,89,72,"? 4,895","? 2,970","-? 1,925",-39%,-17,-19%
0a45d8,STTRV-0,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,196,303,"? 1,68,560","? 1,74,589","? 6,029",4%,107,55%
e4235a,STVJD-0,CAMP_SAN_01,P09,Personal Care,90,25% OFF,33,30,"? 2,970","? 2,025",-? 945,-32%,-3,-9%
ca1e8f,STHYD-1,CAMP_DIW_01,P08,Home Care,1190,BOGOF,54,167,"? 64,260","? 1,98,730","? 1,34,470",209%,280,519%
aa76f1,STHYD-0,CAMP_SAN_01,P11,Personal Care,190,50% OFF,42,65,"? 7,980","? 6,175","-? 1,805",-23%,23,55%
e8aca2,STCBE-4,CAMP_DIW_01,P08,Home Care,1190,BOGOF,40,119,"? 47,600","? 1,41,610","? 94,010",198%,198,495%
c8670a,STCHE-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,343,1056,"? 10,29,000","? 26,40,000","? 16,11,000",157%,713,208%
c99d18,STCHE-7,CAMP_DIW_01,P08,Home Care,1190,BOGOF,54,218,"? 64,260","? 2,59,420","? 1,95,160",304%,382,707%
bcbc28,STVSK-1,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,253,389,"? 2,17,580","? 2,24,142","? 6,562",3%,136,54%
d7e3d8,STVJD-1,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,36,124,"? 12,600","? 43,400","? 30,800",244%,212,589%
5991de,STMDU-0,CAMP_DIW_01,P09,Personal Care,110,50% OFF,43,58,"? 4,730","? 3,190","-? 1,540",-33%,15,35%
4ad894,STMLR-1,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,192,165,"? 29,952","? 19,305","-? 10,647",-36%,-27,-14%
72f1c0,STVSK-4,CAMP_DIW_01,P11,Personal Care,190,50% OFF,57,72,"? 10,830","? 6,840","-? 3,990",-37%,15,26%
465ef1,STCHE-4,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,304,273,"? 88,160","? 59,378","-? 28,783",-33%,-31,-10%
db76f3,STBLR-0,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,294,438,"? 50,568","? 50,475",-? 93,0%,144,49%
8f4f8c,STVJD-1,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,210,321,"? 1,80,600","? 1,84,960","? 4,360",2%,111,53%
dd2475,STBLR-4,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,325,289,"? 94,250","? 62,858","-? 31,393",-33%,-36,-11%
a0a2ec,STBLR-8,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,346,491,"? 59,512","? 56,583","-? 2,929",-5%,145,42%
0f1be6,STCBE-2,CAMP_DIW_01,P12,Personal Care,62,50% OFF,89,129,"? 5,518","? 3,999","-? 1,519",-28%,40,45%
5b357f,STMDU-1,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,322,985,"? 9,66,000","? 24,62,500","? 14,96,500",155%,663,206%
380012,STMDU-3,CAMP_DIW_01,P06,Home Care,415,25% OFF,56,50,"? 23,240","? 15,563","-? 7,678",-33%,-6,-11%
3906da,STMLR-2,CAMP_SAN_01,P09,Personal Care,90,25% OFF,33,27,"? 2,970","? 1,823","-? 1,148",-39%,-6,-18%
c917a3,STCHE-3,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,350,311,"? 1,01,500","? 67,643","-? 33,858",-33%,-39,-11%
3a8b79,STMDU-0,CAMP_DIW_01,P07,Home Care,300,BOGOF,49,199,"? 14,700","? 59,700","? 45,000",306%,349,712%
c48008,STBLR-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,47,162,"? 47,940","? 1,65,240","? 1,17,300",245%,277,589%
88a405,STMLR-2,CAMP_DIW_01,P12,Personal Care,62,50% OFF,63,71,"? 3,906","? 2,201","-? 1,705",-44%,8,13%
1ba928,STMDU-1,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,255,219,"? 73,950","? 47,633","-? 26,318",-36%,-36,-14%
7d5e81,STCHE-5,CAMP_SAN_01,P07,Home Care,300,BOGOF,43,167,"? 12,900","? 50,100","? 37,200",288%,291,677%
43feca,STMDU-3,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,56,184,"? 19,600","? 64,400","? 44,800",229%,312,557%
9779b0,STVSK-2,CAMP_DIW_01,P10,Personal Care,65,50% OFF,85,128,"? 5,525","? 4,160","-? 1,365",-25%,43,51%
bd2635,STHYD-5,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,327,310,"? 94,830","? 67,425","-? 27,405",-29%,-17,-5%
4f255c,STHYD-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,52,134,"? 61,880","? 1,59,460","? 97,580",158%,216,415%
386fdc,STVSK-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,257,364,"? 44,204","? 41,947","-? 2,257",-5%,107,42%
3df185,STCBE-2,CAMP_DIW_01,P11,Personal Care,190,50% OFF,40,62,"? 7,600","? 5,890","-? 1,710",-23%,22,55%
a37f93,STVSK-3,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,38,117,"? 38,760","? 1,19,340","? 80,580",208%,196,516%
939435,STMLR-2,CAMP_SAN_01,P07,Home Care,300,BOGOF,24,96,"? 7,200","? 28,800","? 21,600",300%,168,700%
38b760,STMDU-0,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,33,126,"? 33,660","? 1,28,520","? 94,860",282%,219,664%
660f7c,STMYS-1,CAMP_SAN_01,P07,Home Care,300,BOGOF,43,186,"? 12,900","? 55,800","? 42,900",333%,329,765%
5c8b9f,STMDU-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,187,289,"? 32,164","? 33,304","? 1,140",4%,102,55%
9.57E+11,STHYD-1,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,103,177,"? 3,09,000","? 4,42,500","? 1,33,500",43%,74,72%
ddddb3,STBLR-2,CAMP_DIW_01,P09,Personal Care,110,50% OFF,103,136,"? 11,330","? 7,480","-? 3,850",-34%,33,32%
90b2fb,STCHE-6,CAMP_DIW_01,P07,Home Care,300,BOGOF,59,201,"? 17,700","? 60,300","? 42,600",241%,343,581%
cf9994,STCHE-5,CAMP_SAN_01,P10,Personal Care,50,25% OFF,37,31,"? 1,850","? 1,163",-? 688,-37%,-6,-16%
fb4f00,STCHE-0,CAMP_DIW_01,P11,Personal Care,190,50% OFF,80,102,"? 15,200","? 9,690","-? 5,510",-36%,22,28%
b41e58,STCBE-4,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,255,377,"? 2,19,300","? 2,17,227","-? 2,073",-1%,122,48%
567271,STMDU-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,78,102,"? 5,070","? 3,315","-? 1,755",-35%,24,31%
902a62,STHYD-2,CAMP_DIW_01,P06,Home Care,415,25% OFF,96,77,"? 39,840","? 23,966","-? 15,874",-40%,-19,-20%
da5d21,STBLR-9,CAMP_DIW_01,P10,Personal Care,65,50% OFF,92,125,"? 5,980","? 4,063","-? 1,918",-32%,33,36%
8f2264,STBLR-7,CAMP_DIW_01,P12,Personal Care,62,50% OFF,124,184,"? 7,688","? 5,704","-? 1,984",-26%,60,48%
1e2a0e,STBLR-9,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,329,467,"? 56,588","? 53,817","-? 2,771",-5%,138,42%
7a6449,STHYD-3,CAMP_DIW_01,P10,Personal Care,65,50% OFF,131,203,"? 8,515","? 6,598","-? 1,918",-23%,72,55%
6.24E+11,STMLR-0,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,206,541,"? 41,200","? 1,08,200","? 67,000",163%,876,425%
5aa413,STCHE-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,43,109,"? 51,170","? 1,29,710","? 78,540",153%,175,407%
11a64e,STCHE-7,CAMP_SAN_01,P06,Home Care,415,25% OFF,31,28,"? 12,865","? 8,715","-? 4,150",-32%,-3,-10%
67820e,STBLR-0,CAMP_SAN_01,P10,Personal Care,50,25% OFF,31,25,"? 1,550",? 938,-? 613,-40%,-6,-19%
cd0d8e,STMDU-2,CAMP_DIW_01,P11,Personal Care,190,50% OFF,66,77,"? 12,540","? 7,315","-? 5,225",-42%,11,17%
ee63b3,STHYD-4,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,362,521,"? 3,11,320","? 3,00,200","-? 11,120",-4%,159,44%
abffa2,STCHE-5,CAMP_DIW_01,P07,Home Care,300,BOGOF,59,206,"? 17,700","? 61,800","? 44,100",249%,353,598%
5487a6,STBLR-0,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,358,315,"? 55,848","? 36,855","-? 18,993",-34%,-43,-12%
0a4160,STCHE-7,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,330,323,"? 51,480","? 37,791","-? 13,689",-27%,-7,-2%
6422b4,STCBE-0,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,255,425,"? 43,860","? 48,977","? 5,117",12%,170,67%
6c7601,STCBE-2,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,78,334,"? 79,560","? 3,40,680","? 2,61,120",328%,590,756%
d3575d,STMLR-2,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,210,268,"? 1,80,600","? 1,54,422","-? 26,178",-14%,58,28%
75ad53,STVJD-1,CAMP_DIW_01,P05,Home Care,55,25% OFF,59,48,"? 3,245","? 1,980","-? 1,265",-39%,-11,-19%
a08c5e,STMYS-2,CAMP_DIW_01,P05,Home Care,55,25% OFF,99,88,"? 5,445","? 3,630","-? 1,815",-33%,-11,-11%
d8a4ae,STBLR-0,CAMP_SAN_01,P05,Home Care,55,25% OFF,28,22,"? 1,540",? 908,-? 633,-41%,-6,-21%
14f1e9,STBLR-4,CAMP_DIW_01,P08,Home Care,1190,BOGOF,49,163,"? 58,310","? 1,93,970","? 1,35,660",233%,277,565%
11178a,STCBE-0,CAMP_DIW_01,P07,Home Care,300,BOGOF,36,118,"? 10,800","? 35,400","? 24,600",228%,200,556%
62775f,STCHE-2,CAMP_DIW_01,P07,Home Care,300,BOGOF,59,196,"? 17,700","? 58,800","? 41,100",232%,333,564%
5.88E+11,STHYD-3,CAMP_DIW_01,P12,Personal Care,62,50% OFF,112,178,"? 6,944","? 5,518","-? 1,426",-21%,66,59%
4fca07,STMLR-2,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,183,215,"? 31,476","? 24,777","-? 6,699",-21%,32,17%
a216f7,STCBE-2,CAMP_DIW_01,P06,Home Care,415,25% OFF,77,68,"? 31,955","? 21,165","-? 10,790",-34%,-9,-12%
18a68a,STMLR-0,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,173,250,"? 29,756","? 28,810",-? 946,-3%,77,45%
1f5ed3,STVSK-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,33,131,"? 39,270","? 1,55,890","? 1,16,620",297%,229,694%
58e374,STBLR-0,CAMP_DIW_01,P07,Home Care,300,BOGOF,64,250,"? 19,200","? 75,000","? 55,800",291%,436,681%
f7aec5,STCHE-5,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,87,341,"? 30,450","? 1,19,350","? 88,900",292%,595,684%
f4192d,STMYS-1,CAMP_DIW_01,P11,Personal Care,190,50% OFF,84,121,"? 15,960","? 11,495","-? 4,465",-28%,37,44%
a71e7c,STCBE-2,CAMP_SAN_01,P12,Personal Care,62,50% OFF,33,51,"? 2,046","? 1,581",-? 465,-23%,18,55%
f49149,STMYS-0,CAMP_SAN_01,P06,Home Care,415,25% OFF,27,22,"? 11,205","? 6,848","-? 4,358",-39%,-5,-19%
e7cb59,STCHE-3,CAMP_DIW_01,P11,Personal Care,190,50% OFF,96,120,"? 18,240","? 11,400","-? 6,840",-38%,24,25%
8b1147,STVSK-0,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,73,170,"? 2,19,000","? 4,25,000","? 2,06,000",94%,97,133%
8d349f,STCBE-4,CAMP_SAN_01,P10,Personal Care,50,25% OFF,22,18,"? 1,100",? 675,-? 425,-39%,-4,-18%
096adc,STBLR-8,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,441,626,"? 3,79,260","? 3,60,701","-? 18,559",-5%,185,42%
5f0a89,STBLR-3,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,114,249,"? 3,42,000","? 6,22,500","? 2,80,500",82%,135,118%
127984,STMLR-2,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,141,125,"? 40,890","? 27,188","-? 13,703",-34%,-16,-11%
e8a904,STCHE-7,CAMP_DIW_01,P05,Home Care,55,25% OFF,112,107,"? 6,160","? 4,414","-? 1,746",-28%,-5,-4%
f1b7e9,STCHE-3,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,52,211,"? 53,040","? 2,15,220","? 1,62,180",306%,370,712%
62d659,STHYD-6,CAMP_DIW_01,P10,Personal Care,65,50% OFF,105,137,"? 6,825","? 4,453","-? 2,373",-35%,32,30%
333b7d,STHYD-6,CAMP_DIW_01,P08,Home Care,1190,BOGOF,49,166,"? 58,310","? 1,97,540","? 1,39,230",239%,283,578%
da9b71,STVSK-1,CAMP_DIW_01,P06,Home Care,415,25% OFF,63,51,"? 26,145","? 15,874","-? 10,271",-39%,-12,-19%
463205,STVSK-2,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,215,371,"? 1,84,900","? 2,13,770","? 28,870",16%,156,73%
2b0db4,STMLR-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,21,73,"? 21,420","? 74,460","? 53,040",248%,125,595%
003e8d,STCHE-3,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,371,519,"? 3,19,060","? 2,99,048","-? 20,012",-6%,148,40%
b0ab6c,STHYD-4,CAMP_SAN_01,P06,Home Care,415,25% OFF,34,31,"? 14,110","? 9,649","-? 4,461",-32%,-3,-9%
2d7f62,STCHE-2,CAMP_SAN_01,P11,Personal Care,190,50% OFF,58,68,"? 11,020","? 6,460","-? 4,560",-41%,10,17%
58df9b,STCBE-2,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,183,327,"? 1,57,380","? 1,88,417","? 31,037",20%,144,79%
f22294,STMYS-1,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,345,520,"? 59,340","? 59,925",? 585,1%,175,51%
6.88E+10,STVJD-0,CAMP_SAN_01,P08,Home Care,1190,BOGOF,22,88,"? 26,180","? 1,04,720","? 78,540",300%,154,700%
41b8f8,STBLR-0,CAMP_DIW_01,P08,Home Care,1190,BOGOF,56,220,"? 66,640","? 2,61,800","? 1,95,160",293%,384,686%
7.34E+11,STCHE-0,CAMP_DIW_01,P06,Home Care,415,25% OFF,105,92,"? 43,575","? 28,635","-? 14,940",-34%,-13,-12%
cbe691,STBLR-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,103,134,"? 6,695","? 4,355","-? 2,340",-35%,31,30%
0f2c3a,STCBE-0,CAMP_SAN_01,P07,Home Care,300,BOGOF,30,117,"? 9,000","? 35,100","? 26,100",290%,204,680%
5ae6d6,STBLR-1,CAMP_SAN_01,P09,Personal Care,90,25% OFF,82,74,"? 7,380","? 4,995","-? 2,385",-32%,-8,-10%
a9ee19,STBLR-1,CAMP_SAN_01,P08,Home Care,1190,BOGOF,58,158,"? 69,020","? 1,88,020","? 1,19,000",172%,258,445%
4ab9ba,STTRV-1,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,165,232,"? 28,380","? 26,736","-? 1,644",-6%,67,41%
3164ea,STMDU-2,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,265,328,"? 45,580","? 37,799","-? 7,781",-17%,63,24%
7bdc1e,STVSK-4,CAMP_DIW_01,P07,Home Care,300,BOGOF,50,149,"? 15,000","? 44,700","? 29,700",198%,248,496%
565a38,STTRV-0,CAMP_SAN_01,P07,Home Care,300,BOGOF,30,117,"? 9,000","? 35,100","? 26,100",290%,204,680%
ab3517,STTRV-1,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,190,733,"? 70,300","? 2,71,210","? 2,00,910",286%,1276,672%
1b295f,STCHE-5,CAMP_DIW_01,P12,Personal Care,62,50% OFF,110,130,"? 6,820","? 4,030","-? 2,790",-41%,20,18%
a55960,STBLR-1,CAMP_DIW_01,P08,Home Care,1190,BOGOF,50,149,"? 59,500","? 1,77,310","? 1,17,810",198%,248,496%
5a0c33,STCBE-2,CAMP_DIW_01,P10,Personal Care,65,50% OFF,87,127,"? 5,655","? 4,128","-? 1,528",-27%,40,46%
74d23a,STCHE-0,CAMP_DIW_01,P07,Home Care,300,BOGOF,75,252,"? 22,500","? 75,600","? 53,100",236%,429,572%
d105db,STCBE-4,CAMP_SAN_01,P07,Home Care,300,BOGOF,43,111,"? 12,900","? 33,300","? 20,400",158%,179,416%
1620ea,STMYS-3,CAMP_DIW_01,P06,Home Care,415,25% OFF,101,89,"? 41,915","? 27,701","-? 14,214",-34%,-12,-12%
2177f8,STMDU-0,CAMP_DIW_01,P04,Grocery & Staples,290,25% OFF,234,208,"? 67,860","? 45,240","-? 22,620",-33%,-26,-11%
609bfd,STBLR-1,CAMP_DIW_01,P12,Personal Care,62,50% OFF,129,170,"? 7,998","? 5,270","-? 2,728",-34%,41,32%
0013db,STBLR-1,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,435,622,"? 3,74,100","? 3,58,396","-? 15,704",-4%,187,43%
6f3e24,STHYD-6,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,388,1129,"? 11,64,000","? 28,22,500","? 16,58,500",142%,741,191%
79a95a,STHYD-3,CAMP_SAN_01,P15,Combo1,3000,500 Cashback,121,200,"? 3,63,000","? 5,00,000","? 1,37,000",38%,79,65%
8cd1ec,STCHE-1,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,124,324,"? 43,400","? 1,13,400","? 70,000",161%,524,423%
e57227,STCHE-6,CAMP_SAN_01,P05,Home Care,55,25% OFF,25,18,"? 1,375",? 743,-? 633,-46%,-7,-28%
79577d,STBLR-9,CAMP_DIW_01,P03,Grocery & Staples,156,25% OFF,348,337,"? 54,288","? 39,429","-? 14,859",-27%,-11,-3%
dbaf92,STBLR-6,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,301,454,"? 51,772","? 52,319",? 547,1%,153,51%
27bc6e,STCBE-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,42,160,"? 42,840","? 1,63,200","? 1,20,360",281%,278,662%
53bb94,STHYD-2,CAMP_DIW_01,P02,Grocery & Staples,860,33% OFF,402,611,"? 3,45,720","? 3,52,058","? 6,338",2%,209,52%
2fe1bb,STCHE-1,CAMP_SAN_01,P04,Grocery & Staples,370,BOGOF,460,1168,"? 1,70,200","? 4,32,160","? 2,61,960",154%,1876,408%
e553f2,STTRV-0,CAMP_DIW_01,P13,Home Appliances,350,BOGOF,38,129,"? 13,300","? 45,150","? 31,850",239%,220,579%
fc376a,STHYD-0,CAMP_SAN_01,P14,Home Appliances,1020,BOGOF,106,422,"? 1,08,120","? 4,30,440","? 3,22,320",298%,738,696%
fdd666,STMLR-0,CAMP_DIW_01,P06,Home Care,415,25% OFF,38,33,"? 15,770","? 10,271","-? 5,499",-35%,-5,-13%
bbf357,STVSK-4,CAMP_SAN_01,P11,Personal Care,190,50% OFF,40,57,"? 7,600","? 5,415","-? 2,185",-29%,17,43%
d180ef,STBLR-7,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,341,531,"? 58,652","? 61,192","? 2,540",4%,190,56%
4888d5,STBLR-3,CAMP_DIW_01,P07,Home Care,300,BOGOF,70,231,"? 21,000","? 69,300","? 48,300",230%,392,560%
dead78,STVJD-0,CAMP_DIW_01,P12,Personal Care,62,50% OFF,68,90,"? 4,216","? 2,790","-? 1,426",-34%,22,32%
c198da,STMDU-2,CAMP_SAN_01,P06,Home Care,415,25% OFF,19,15,"? 7,885","? 4,669","-? 3,216",-41%,-4,-21%
3cb389,STCHE-6,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,309,460,"? 53,148","? 53,010",-? 138,0%,151,49%
667c78,STVSK-4,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,223,301,"? 38,356","? 34,687","-? 3,669",-10%,78,35%
02b894,STBLR-2,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,477,658,"? 4,10,220","? 3,79,140","-? 31,080",-8%,181,38%
1bff17,STCHE-6,CAMP_DIW_01,P05,Home Care,55,25% OFF,112,85,"? 6,160","? 3,506","-? 2,654",-43%,-27,-24%
d6ff76,STMDU-2,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,28,96,"? 28,560","? 97,920","? 69,360",243%,164,586%
d1e51d,STCBE-4,CAMP_DIW_01,P07,Home Care,300,BOGOF,42,130,"? 12,600","? 39,000","? 26,400",210%,218,519%
8f2a5a,STVSK-2,CAMP_SAN_01,P11,Personal Care,190,50% OFF,25,37,"? 4,750","? 3,515","-? 1,235",-26%,12,48%
87be33,STBLR-6,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,120,516,"? 42,000","? 1,80,600","? 1,38,600",330%,912,760%
a1e541,STHYD-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,311,385,"? 53,492","? 44,367","-? 9,125",-17%,74,24%
6a1a5a,STVSK-0,CAMP_DIW_01,P15,Combo1,3000,500 Cashback,250,755,"? 7,50,000","? 18,87,500","? 11,37,500",152%,505,202%
361cfb,STMLR-0,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,22,69,"? 22,440","? 70,380","? 47,940",214%,116,527%
951bda,STBLR-9,CAMP_DIW_01,P07,Home Care,300,BOGOF,63,213,"? 18,900","? 63,900","? 45,000",238%,363,576%
a692dc,STCHE-1,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,270,340,"? 46,440","? 39,182","-? 7,258",-16%,70,26%
94953c,STMLR-2,CAMP_SAN_01,P06,Home Care,415,25% OFF,15,12,"? 6,225","? 3,735","-? 2,490",-40%,-3,-20%
af100a,STMLR-2,CAMP_SAN_01,P03,Grocery & Staples,200,BOGOF,190,752,"? 38,000","? 1,50,400","? 1,12,400",296%,1314,692%
223d36,STMYS-0,CAMP_DIW_01,P10,Personal Care,65,50% OFF,129,167,"? 8,385","? 5,428","-? 2,958",-35%,38,29%
ff43bf,STHYD-2,CAMP_DIW_01,P11,Personal Care,190,50% OFF,91,116,"? 17,290","? 11,020","-? 6,270",-36%,25,27%
44838e,STVJD-1,CAMP_DIW_01,P06,Home Care,415,25% OFF,49,40,"? 20,335","? 12,450","-? 7,885",-39%,-9,-18%
1fa488,STVJD-0,CAMP_DIW_01,P07,Home Care,300,BOGOF,31,105,"? 9,300","? 31,500","? 22,200",239%,179,577%
73211e,STCBE-1,CAMP_DIW_01,P01,Grocery & Staples,172,33% OFF,182,223,"? 31,304","? 25,699","-? 5,605",-18%,41,23%
93a29e,STCHE-4,CAMP_SAN_01,P05,Home Care,55,25% OFF,28,22,"? 1,540",? 908,-? 633,-41%,-6,-21%
ec5570,STVJD-1,CAMP_DIW_01,P10,Personal Care,65,50% OFF,71,95,"? 4,615","? 3,088","-? 1,528",-33%,24,34%
6ee2af,STHYD-3,CAMP_SAN_01,P02,Grocery & Staples,860,33% OFF,595,892,"? 5,11,700","? 5,13,970","? 2,270",0%,297,50%
f3a7b2,STHYD-6,CAMP_SAN_01,P01,Grocery & Staples,172,33% OFF,306,416,"? 52,632","? 47,940","-? 4,692",-9%,110,36%
2186aa,STCBE-3,CAMP_SAN_01,P05,Home Care,55,25% OFF,19,15,"? 1,045",? 619,-? 426,-41%,-4,-21%
e7bdad,STMLR-1,CAMP_DIW_01,P14,Home Appliances,1020,BOGOF,24,80,"? 24,480","? 81,600","? 57,120",233%,136,567%
f90ae9,STCBE-0,CAMP_SAN_01,P13,Home Appliances,350,BOGOF,82,323,"? 28,700","? 1,13,050","? 84,350",294%,564,688%
